id,x,y
715,43.56664,-0.73779535
701,-0.05993069,24.37728
1746,45.779846,9.209674
3079,47.969738,45.034954
3126,50.11723,43.405365
3360,48.663033,45.69323
3549,63.51285,-0.14966811
20,146.4305,-67.97004
1668,-39.522915,-59.956955
1833,14.004898,10.38764
2527,-50.977966,-99.24508
2711,111.829445,-34.12417
3300,-97.50221,32.277203
3303,-82.59759,43.19332
3356,20.70869,-44.616802
3561,36.507133,74.14208
188,82.881226,-22.71871
715,43.56664,-0.73779535
1928,104.043015,121.609314
2497,-50.54709,-88.18795
2551,48.05168,26.891466
2856,-59.398052,26.534508
3064,101.76233,-45.836376
116,31.660793,69.56585
2707,30.21588,69.75923
3392,29.28178,70.48987
3578,25.692593,89.71642
3614,68.78153,46.11194
3789,76.92668,27.104752
3908,87.198425,-54.06861
2140,86.793434,-56.04722
2900,90.58876,-59.197483
3575,-145.63533,99.28125
3914,67.58734,59.285786
3967,0.06357669,-29.485613
852,111.687645,-155.49403
3557,40.002956,3.666364
4006,115.91098,-39.96144
4307,67.02276,41.383667
4565,41.261486,-77.90177
3718,41.446987,-77.17259
3947,40.89319,-77.48218
5511,-101.96563,-23.63804
702,-73.35875,23.874464
2874,-162.54977,68.12391
2917,-30.437029,148.43341
3333,-48.194733,57.5776
4682,-48.875942,-98.311554
5459,-60.981464,51.21919
2199,-101.911736,-22.895279
2471,-102.34254,-22.659828
2609,-99.577774,-14.714964
5696,104.425415,-72.51209
5779,67.36391,-69.07492
5977,37.181522,152.43402
3739,36.97141,153.05835
6325,71.78518,-14.301096
5056,109.26279,41.186962
6350,33.402958,23.967846
268,33.42045,23.423288
6469,79.258865,-6.481051
6461,-26.440756,23.850544
6504,162.78552,20.954485
6582,61.056408,59.520203
6652,-15.484567,-46.176567
6705,-39.803585,80.21088
6932,146.1006,-62.159153
145,145.15024,-64.921295
7176,-72.81274,2.9767091
5535,-72.42473,4.6047626
7260,102.84194,41.724243
3599,101.91242,41.61108
7269,49.47523,44.588417
7336,44.861702,-4.309519
7355,48.624153,42.08797
7800,52.946754,45.370808
7911,109.00511,7.8227577
7294,111.436966,6.369679
8009,51.7679,42.219616
8015,43.099438,56.890266
8070,88.71977,19.04273
8092,7.003723,-32.840652
10248,77.79273,14.340566
4540,78.71659,14.199753
10615,46.79648,44.547935
