id,x,y
6505,-175.175,-49.0247
16594,-173.15695,-50.151
14329,98.25055,120.137405
3561,36.507133,74.14208
1239,83.378,62.88064
14999,76.921776,61.722294
2767,91.937386,-148.54262
6241,91.05858,-148.82654
7018,126.63067,45.292957
20351,116.60016,50.276962
1,54.338463,29.368631
14628,68.220726,-58.87741
701,-0.05993069,24.37728
14062,28.407404,96.529175
11354,47.777477,-21.944427
4230,-178.43488,-57.368492
19960,-175.0483,-57.310158
9837,-101.68719,-126.350105
7474,-116.78544,-142.9747
14626,130.13147,95.71459
11891,87.161255,-51.288467
151,-98.467545,-113.81745
3758,-100.01412,-113.49386
10389,142.37245,-25.59493
15142,34.629738,73.953705
6220,23.135954,-41.317
13704,135.52225,-11.982639
6461,-26.440756,23.850544
3789,76.92668,27.104752
10625,159.06313,60.59767
6128,156.99312,-73.769806
13455,157.78749,-72.94333
5378,-52.96568,25.753607
5587,-52.811264,26.893045
17186,-4.7162223,-38.867455
3967,0.06357669,-29.485613
2907,-60.420406,-81.825226
2504,-60.305244,-82.95398
13789,-11.773595,-57.686485
12213,-8.610301,-58.754486
13768,108.80742,-145.37582
715,43.56664,-0.73779535
10396,61.27949,39.052788
9277,1.3020543,-180.51564
4669,0.58882767,-180.51208
9874,-92.97095,-111.150024
7991,-100.11476,-105.462715
11537,97.59771,-20.76594
1201,99.49722,-18.413437
9225,-76.639084,-116.01582
7713,-65.66627,-81.88676
2116,-83.80844,81.145004
3293,-83.43057,81.43927
200,35.571415,142.57535
6435,36.436924,142.27515
6799,-137.7219,3.4999268
8396,-137.83075,4.2828608
6427,46.312977,3.3974378
209,125.05835,-17.9841
5474,-97.796165,36.636276
15814,-105.60597,-21.57224
13930,100.26317,-76.6508
174,-59.563854,-42.36846
13841,-22.066452,11.006111
11379,165.82956,-27.177038
8000,35.131454,96.10627
8642,-93.14237,54.848415
3257,-58.105743,53.499817
16482,116.256874,50.659096
4513,-44.941265,45.274704
3330,-109.49508,34.796696
3220,-99.01583,86.164734
790,-100.19442,87.76543
4319,41.57833,-7.9607725
6453,-99.180855,-38.766766
10687,105.14247,-144.80426
17302,178.72491,3.1339984
15565,-91.304054,59.181026
11341,-90.50733,59.567783
10204,-103.26808,-91.57539
2914,54.98252,-30.709427
8918,-52.996223,51.684357
15478,-54.468452,52.241577
12670,-21.781176,150.4676
12645,-21.994188,151.4739
5669,-45.685936,39.681313
3557,40.002956,3.666364
19558,17.573923,-38.6958
9505,-44.098408,-121.32168
1659,-43.30854,-117.279175
6813,-99.84233,12.715841
766,-98.40914,12.842974
2529,-49.284542,21.068123
5564,-49.000874,19.707697
16101,-22.188206,149.59361
12670,-21.781176,150.4676
6453,-99.180855,-38.766766
1746,45.779846,9.209674
11033,122.45031,82.5319
7018,126.63067,45.292957
46,132.86446,-62.204178
577,99.095375,-145.4728
7734,-98.48263,-126.81788
8259,-97.93986,31.151085
5413,-55.045193,58.464874
5676,0.12028974,-76.15598
4179,-0.68383735,-73.48796
6517,-19.482155,12.726419
3356,20.70869,-44.616802
19884,132.52267,-33.575523
5003,132.53778,-33.59901
3786,-12.645857,-176.70027
6805,-58.656017,110.71415
6451,83.50292,67.70357
19191,123.328804,76.819954
3549,63.51285,-0.14966811
18439,63.455643,2.8078675
4618,-98.74194,-79.9479
4767,-100.53474,-77.44199
15053,20.908382,34.1503
16807,118.673965,26.100006
11415,-167.9634,-53.01807
11521,-164.32922,-86.57269
13126,-162.11334,58.320927
12369,-167.23552,60.488243
3066,3.997735,-6.728239
7432,3.988889,-6.913591
5594,-28.285585,142.53645
8527,-29.985111,139.90802
8918,-52.996223,51.684357
7176,-72.81274,2.9767091
10482,113.05243,-152.37282
6539,108.36021,-152.6081
8342,-139.48433,120.633224
8711,-137.65169,119.55237
13694,-20.546545,29.629152
6461,-26.440756,23.850544
2379,127.885735,13.767387
14467,175.76277,0.533523
18753,42.698807,-25.764832
14636,42.971943,-26.422726
19437,26.79302,-53.553997
8210,-104.24502,65.39987
8551,-168.04593,-10.429713
8999,-26.182919,145.08044
6675,-23.381813,147.26865
15522,-51.2267,50.03603
3303,-82.59759,43.19332
1299,-114.4013,77.05687
15833,-118.36635,77.06873
3333,-48.194733,57.5776
1136,-45.484417,58.56021
10546,97.447174,-22.149422
6386,93.35083,28.15739
16565,93.044136,27.404345
702,-73.35875,23.874464
17071,-85.5406,15.775067
9328,-118.4925,-132.54988
4000,-116.70401,-44.98383
7980,-118.14988,-44.072845
4766,-4.128612,-194.78786
10169,2.0928075,-173.58441
4513,-44.941265,45.274704
9165,-91.31485,9.486637
5511,-101.96563,-23.63804
2200,-26.456581,174.64622
14549,125.11477,40.98428
13353,-167.79558,-59.103886
16735,-167.99438,-57.563152
5713,-124.669075,-11.574275
16416,-125.55276,-11.326964
2764,-117.790016,-124.89389
7716,-119.29059,-127.140015
19346,42.6838,-25.798513
6677,-75.24259,82.690125
18977,39.580826,-110.17806
6347,47.58973,-109.142
8777,-156.36162,33.900036
7503,59.28824,-1.5251733
7025,88.09372,70.083275
6785,-77.51309,77.10469
16100,-77.492516,77.133644
18720,-1.9471798,-75.360985
721,27.999176,170.43254
1504,32.117096,169.59439
14168,146.81964,52.503555
5579,-59.046833,111.77086
1591,37.51408,174.46954
10910,-17.393444,-54.109642
6102,-16.467115,-52.51446
3300,-97.50221,32.277203
2007,-97.174194,32.53726
7829,-1.8268187,-32.692062
15183,-1.8016924,-32.366383
10850,127.82526,71.53524
15173,135.46411,23.91309
10935,43.175533,-78.40774
15034,-128.71046,-48.065445
13407,18.200113,-40.161133
15849,-72.896095,26.936718
4969,9.729108,-10.69797
3491,7.498124,-18.506638
3300,-97.50221,32.277203
7727,78.06682,73.99942
11415,-167.9634,-53.01807
10875,-167.9231,-49.49046
1239,83.378,62.88064
243,87.68259,67.416504
7132,106.40536,17.097754
14949,42.44001,-26.606869
1280,40.25533,6.9863234
14495,-20.92803,-54.429356
5430,-41.125908,104.558075
5409,-55.84224,88.681656
9241,-118.00734,-142.75073
3754,146.84058,-66.4487
20,146.4305,-67.97004
8355,-78.812935,54.16462
5561,-132.5238,41.127544
14145,156.38657,-13.880441
14691,34.083637,93.809975
1874,29.644041,164.44894
14487,43.29498,-71.38999
11855,43.0121,-71.703285
2828,88.86736,0.6653774
14590,88.395004,1.1656675
1842,44.04534,157.57518
13488,97.64873,-39.254776
15243,90.323586,21.036478
7337,-0.44694197,-10.8242035
7605,-111.5827,-127.955284
7586,-114.85015,-119.596886
12181,32.141872,-30.712002
19630,32.43932,-30.577997
816,111.91013,-141.58122
813,112.22062,-140.96669
13920,-17.83731,13.613077
11770,101.86038,121.46853
17247,17.792477,21.29854
10738,72.591324,76.24029
1740,-1.8882961,-42.181374
17012,-4.391892,-37.642735
14742,15.13266,3.1424487
13916,15.219125,3.1397612
8072,-92.69992,80.461075
3301,-94.07832,79.26994
8303,-51.7334,106.1304
3320,-49.923313,108.50083
6716,-46.457436,28.323523
13201,-101.02966,45.925167
12656,-101.06078,45.689377
3976,-24.962524,-184.8574
10057,-22.01655,-186.71718
15313,18.515228,-55.687412
3850,102.970795,-3.0178752
3846,79.787575,-82.446075
8105,96.94659,121.31428
1913,38.986004,200.27141
655,36.400173,199.6543
16225,-93.11337,18.028664
12432,-94.04191,20.00316
12122,154.97034,57.793545
12487,-144.62883,106.20696
13300,-54.62619,49.937737
6667,-96.2536,90.41333
8311,-78.66307,53.60483
15140,18.569204,-56.731987
14767,139.90215,-20.926437
10612,-4.126988,-85.87713
14345,23.148016,-41.31384
10538,40.914204,-108.160736
1221,-108.52901,-132.21423
9567,-113.664536,-127.71048
6172,19.326681,-82.40851
12108,2.8263237,-58.821743
2603,-91.74564,89.864395
3255,-160.00145,67.68776
14664,-142.91524,-61.38081
6140,-143.47101,-54.240402
13430,99.222664,-146.27942
15341,24.755245,50.504314
12475,-61.960636,20.300882
1785,148.66663,-70.20193
7828,147.1873,-72.37351
20652,-53.11087,27.070198
5727,-96.75356,-91.17367
2042,-100.67307,-93.46548
15697,-21.318962,-25.055733
9910,-21.298004,-25.080727
2856,-59.398052,26.534508
14434,130.40758,-17.78994
6337,-52.36478,-36.541782
16841,21.500656,-48.721985
