id,x,y
8473,-97.59131,81.02757
8918,-52.996223,51.684357
3344,-66.75076,47.16728
6461,-26.440756,23.850544
5462,-65.69506,40.17609
15914,-59.68535,69.25194
9057,-58.45956,71.49374
12808,-56.805393,72.15726
15941,-53.936737,71.75451
1755,-96.7509,58.76173
3330,-109.49508,34.796696
3300,-97.50221,32.277203
12361,-135.69588,4.1111836
3303,-82.59759,43.19332
209,125.05835,-17.9841
18859,140.82903,-18.471119
701,-0.05993069,24.37728
11272,68.49774,107.89661
1239,83.378,62.88064
11612,95.1327,118.530876
1928,104.043015,121.609314
6524,78.91894,99.67198
10399,76.26603,52.90142
5645,76.2462,52.860104
11466,75.34926,28.070993
6395,91.526634,21.567078
8070,88.71977,19.04273
3561,36.507133,74.14208
4449,28.204815,77.845665
13491,32.23314,67.93859
9334,-117.58408,-29.215694
4799,-79.42306,-90.66294
2516,-54.92523,-86.584885
9225,-76.639084,-116.01582
4142,-78.5217,-115.39409
2915,-51.189865,-95.063934
9374,-52.460194,-93.65176
7513,-52.177887,-95.546616
4689,-52.870316,-95.70693
6066,45.515892,6.8667183
2526,-52.240265,-87.80252
5400,-113.16941,26.790752
3265,-51.39409,59.725025
3333,-48.194733,57.5776
3320,-49.923313,108.50083
12625,-55.725132,104.46426
15368,-56.04387,104.96889
9126,-61.224934,100.760925
15938,-45.875874,100.47876
15943,-59.65974,101.10764
15743,-57.41777,99.312904
517,-53.39287,95.97203
8937,-53.648323,108.16775
6695,-54.67364,91.662025
5577,-54.022263,91.72803
4513,-44.941265,45.274704
6652,-15.484567,-46.176567
13819,86.41108,99.83505
1668,-39.522915,-59.956955
7113,47.533997,-116.85584
6347,47.58973,-109.142
11766,43.292564,-93.69386
11323,48.003845,-98.731155
20131,44.608715,-110.395424
20450,44.5566,-120.857025
15249,47.41331,-116.04417
16867,45.625645,-111.07881
10558,39.50688,-104.1666
18665,38.875828,-126.99765
17066,44.268497,-119.36549
11027,44.05916,-112.23257
7737,44.45543,-109.66729
14724,45.014854,-107.87942
13744,38.756634,-127.13147
19650,50.47486,-106.81005
